FRANCHISE_ID,ID,NAME,AREA,BUILDING,PHONE,CUISINE_DESCRIPTION,PHONE_AREA_CODE,FRANCHISE_LOCATION_COUNT,IS_FRANCHISE
102 LIBERTY LLC_1_50166215,50166215,102 LIBERTY LLC,ETOBICOKE,102-16,3472609521,,347,1,False
1020 BAR_1_50147296,50147296,1020 BAR,TORONTO,1020,9176850342,American,917,1,False
104-01 FOSTER AVENUE COFFEE SHOP(UPS)_1_40639261,40639261,104-01 FOSTER AVENUE COFFEE SHOP(UPS),RICHMOND HILL,10401,7182707879,Coffee/Tea,718,1,False
1050 CAFE_1_50125100,50125100,1050 CAFE,RICHMOND HILL,1050,7183483384,American,718,1,False
106 KINSHIP COFFEE INC._1_50175148,50175148,106 KINSHIP COFFEE INC.,TORONTO,106,6465122106,,646,1,False
106 NUTRITION BLENDS_1_50129829,50129829,106 NUTRITION BLENDS,TORONTO,167,6464181486,"Juice, Smoothies, Fruit Salads",646,1,False
107 DAILY & GRILL_1_50107755,50107755,107 DAILY & GRILL,TORONTO,963,9172083240,,917,1,False
107-22 CONTINENTAL BB LLC_1_50168682,50168682,107-22 CONTINENTAL BB LLC,ETOBICOKE,107-22,7328248529,,732,1,False
108 DYCKMAN FINEST DELI & GRILL INC_1_50179260,50179260,108 DYCKMAN FINEST DELI & GRILL INC,TORONTO,108,6468241094,,646,1,False
108 FOOD DRIED HOT POT_1_50059935,50059935,108 FOOD DRIED HOT POT,TORONTO,2794,9176756878,Chinese,917,1,False
109 PIZZERIA_1_50135924,50135924,109 PIZZERIA,TORONTO,1976,6312848568,Pizza,631,1,False
10:AM BREAKFAST BAR_1_50175003,50175003,10:AM BREAKFAST BAR,RICHMOND HILL,3808,3474520405,,347,1,False
10TH AVENUE COOKSHOP_1_41092609,41092609,10TH AVENUE COOKSHOP,TORONTO,156,2129244440,American,212,1,False
10TH AVENUE PIZZA & CAFE_1_40673117,40673117,10TH AVENUE PIZZA & CAFE,TORONTO,256,2123669222,Pizza,212,1,False
10TH FL CATERING_1_50115677,50115677,10TH FL CATERING,TORONTO,10,2032531590,American,203,1,False
10TH FL FOOD HALL ( DEUTSCHE BANK CAFE)_1_50115654,50115654,10TH FL FOOD HALL ( DEUTSCHE BANK CAFE),TORONTO,10,7185104647,Californian,718,1,False
10TH FLOOR CAFE_1_50147425,50147425,10TH FLOOR CAFE,TORONTO,310,9144507990,American,914,1,False
10TH FLOOR LOUNGE_1_50059312,50059312,10TH FLOOR LOUNGE,RICHMOND HILL,60,3476962500,American,347,1,False
11 HOWARD KITCHEN_1_50052807,50052807,11 HOWARD KITCHEN,TORONTO,138,6469371256,American,646,1,False
11 PARISHES RESTAURANT_1_50161043,50161043,11 PARISHES RESTAURANT,RICHMOND HILL,1081,3474000059,Caribbean,347,1,False
11 STREET CAFE_1_41217083,41217083,11 STREET CAFE,TORONTO,327,6466924455,Coffee/Tea,646,1,False
11 W 42ND BB LLC_1_50168668,50168668,11 W 42ND BB LLC,TORONTO,11,7328248529,,732,1,False
110 NUTRITION_1_50105569,50105569,110 NUTRITION,TORONTO,2135,9173329099,"Juice, Smoothies, Fruit Salads",917,1,False
113 SPRING_1_50174220,50174220,113 SPRING,TORONTO,113,6462834799,Vegan,646,1,False
11:11 CAFE_1_50145945,50145945,11:11 CAFE,RICHMOND HILL,65,3472606919,American,347,1,False
11:11 RESTAURANT LOUNGE_1_50112530,50112530,11:11 RESTAURANT LOUNGE,TORONTO,3964,6466237900,Other,646,1,False
11TH FL CLIENT DINING_1_50115657,50115657,11TH FL CLIENT DINING,TORONTO,10,7043286907,American,704,1,False
11TH ST BAR_1_50084061,50084061,11TH ST BAR,TORONTO,510,2129823929,American,212,1,False
11TIGERS_1_50125105,50125105,11TIGERS,TORONTO,225,9173095942,Asian/Asian Fusion,917,1,False
12 CHAIRS CAFE_1_50018577,50018577,12 CHAIRS CAFE,RICHMOND HILL,342,3472277077,Middle Eastern,347,1,False
12 CHAIRS CATERING_1_50140852,50140852,12 CHAIRS CATERING,TORONTO,142,2122548640,Mediterranean,212,1,False
12 CHAIRS SHUK LLC_1_50174351,50174351,12 CHAIRS SHUK LLC,TORONTO,41,9292178365,,929,1,False
12 CORAZONES_1_41704440,41704440,12 CORAZONES,ETOBICOKE,86-22,7182055575,Latin American,718,1,False
12 MATCHA_1_50169165,50169165,12 MATCHA,TORONTO,54,6265895920,,626,1,False
12.6 LOUNGE_1_50136534,50136534,12.6 LOUNGE,ETOBICOKE,253-06,3472215057,Spanish,347,1,False
120 BAY CAFE/CARGO_1_41646201,41646201,120 BAY CAFE/CARGO,SCARBOROUGH,120,7182737770,American,718,1,False
120 ORCHARD BAR LLC_1_50108278,50108278,120 ORCHARD BAR LLC,TORONTO,120,1914906246,,191,1,False
121 MASTER HONG NOODLE HOUSE_1_50179441,50179441,121 MASTER HONG NOODLE HOUSE,ETOBICOKE,37-11,9296936999,,929,1,False
123 MARKET PLACE_1_50110715,50110715,123 MARKET PLACE,TORONTO,123,2123498308,Asian/Asian Fusion,212,1,False
123 RAMEN_1_50108129,50108129,123 RAMEN,ETOBICOKE,42-05,7184339169,Chinese/Japanese,718,1,False
124 OLD RABBIT CLUB_1_50137734,50137734,124 OLD RABBIT CLUB,TORONTO,124,9175876785,Bottled Beverages,917,1,False
129 PIZZA_1_50161207,50161207,129 PIZZA,ETOBICOKE,432,7185515850,Other,718,1,False
129-26 MERRICK RESTAURANT CORP._1_50170075,50170075,129-26 MERRICK RESTAURANT CORP.,ETOBICOKE,129-26,9143385253,,914,1,False
12TH ST. ALE HOUSE_1_50086684,50086684,12TH ST. ALE HOUSE,TORONTO,192,2122532323,Bottled Beverages,212,1,False
13115 SINGH CORP_1_50178044,50178044,13115 SINGH CORP,ETOBICOKE,131-15,3472339051,,347,1,False
1355 2ND AVE LLC_1_50169995,50169995,1355 2ND AVE LLC,TORONTO,1355,6464484120,,646,1,False
138 NORTHERN GALA INC_1_50173291,50173291,138 NORTHERN GALA INC,ETOBICOKE,138-18,6462834775,,646,1,False
1468 HYLAN CAFE_1_50151065,50151065,1468 HYLAN CAFE,SCARBOROUGH,1468,7182854388,Asian/Asian Fusion,718,1,False
1480 HK CAFE_1_50145677,50145677,1480 HK CAFE,ETOBICOKE,255-05,6466396912,Chinese,646,1,False
15 EAST @ TOCQUEVILLE_1_41148766,41148766,15 EAST @ TOCQUEVILLE,TORONTO,3,2126471515,French,212,1,False
15 STORIES_1_50067483,50067483,15 STORIES,TORONTO,444,2128048880,Bottled Beverages,212,1,False
150 20TH MANAGEMENT LLC_1_50177717,50177717,150 20TH MANAGEMENT LLC,RICHMOND HILL,150,7185719800,,718,1,False
150 JACKSON PIZZA_1_50149207,50149207,150 JACKSON PIZZA,NORTH YORK,658,9173404740,Pizza,917,1,False
1502 NY INC_1_50177279,50177279,1502 NY INC,TORONTO,1502,9173015693,,917,1,False
156 VALLE RESTAURANT_1_50125732,50125732,156 VALLE RESTAURANT,TORONTO,1944,9172570925,Spanish,917,1,False
16 HANDLES_7_50090528,50090528,16 HANDLES,TORONTO,428,2122131755,Frozen Desserts,212,7,True
16 HANDLES_7_50096571,50096571,16 HANDLES,TORONTO,153,2122604414,Frozen Desserts,212,7,True
16 HANDLES_7_50096572,50096572,16 HANDLES,TORONTO,178,9146564534,Frozen Desserts,914,7,True
16 HANDLES_7_50105549,50105549,16 HANDLES,TORONTO,155,9146564534,Frozen Desserts,914,7,True
16 HANDLES_7_50130973,50130973,16 HANDLES,TORONTO,325,6468611281,Frozen Desserts,646,7,True
16 HANDLES_7_50136287,50136287,16 HANDLES,RICHMOND HILL,139,2017765412,"Juice, Smoothies, Fruit Salads",201,7,True
16 HANDLES_7_50173134,50173134,16 HANDLES,RICHMOND HILL,300,7328560195,,732,7,True
161 BAR & GRILL_1_40393688,40393688,161 BAR & GRILL,NORTH YORK,101,6316624958,Latin American,631,1,False
161 DELI & GRILL_1_50113136,50113136,161 DELI & GRILL,ETOBICOKE,90-46,6463184666,Indonesian,646,1,False
161 LAFAYETTE_1_50110148,50110148,161 LAFAYETTE,TORONTO,161,2012385865,American,201,1,False
162 K-TOWN BAR_1_50129393,50129393,162 K-TOWN BAR,ETOBICOKE,41-27,9293181005,Korean,929,1,False
165 CARRIBEAN BEST BITES_1_50170925,50170925,165 CARRIBEAN BEST BITES,NORTH YORK,270,7185356959,Caribbean,718,1,False
1650 MUNCHIES LLC_1_50175817,50175817,1650 MUNCHIES LLC,TORONTO,1650,9179121135,,917,1,False
167 DOMINICAN DELI GROCERY INC_1_50169941,50169941,167 DOMINICAN DELI GROCERY INC,NORTH YORK,104,9144264505,,914,1,False
167 EMPANADAS RD_1_50104822,50104822,167 EMPANADAS RD,NORTH YORK,109,9176707078,Sandwiches/Salads/Mixed Buffet,917,1,False
167TH ST. BILLIARD AND CAFE INC._1_50145772,50145772,167TH ST. BILLIARD AND CAFE INC.,NORTH YORK,185,3477262781,Spanish,347,1,False
168 GOODY KITCHEN_1_50139142,50139142,168 GOODY KITCHEN,RICHMOND HILL,5202,7187459899,Chinese,718,1,False
168 HK CORP._1_50177686,50177686,168 HK CORP.,ETOBICOKE,41-42A,6462510583,,646,1,False
168 KIM WEI KITCHEN_1_50075170,50075170,168 KIM WEI KITCHEN,RICHMOND HILL,4201,7184366002,Chinese,718,1,False
169 BAR_1_41171181,41171181,169 BAR,TORONTO,169,9175772077,American,917,1,False
16TH FLOOR CAFE_1_50121356,50121356,16TH FLOOR CAFE,TORONTO,320,2122241048,Other,212,1,False
18 AVE BARBEQUE_1_50148089,50148089,18 AVE BARBEQUE,RICHMOND HILL,8513,7189862370,Chinese,718,1,False
18 BAKERY_1_41390570,41390570,18 BAKERY,RICHMOND HILL,6820,7182595399,Bakery Products/Desserts,718,1,False
18 LOUNGE KTV_1_50090224,50090224,18 LOUNGE KTV,RICHMOND HILL,8732,9179232338,Bottled Beverages,917,1,False
18 RESTAURANT_1_41478388,41478388,18 RESTAURANT,TORONTO,240,2125172400,Jewish/Kosher,212,1,False
18.5 GRAM COFFEE_1_50139903,50139903,18.5 GRAM COFFEE,ETOBICOKE,161-01,7186830070,Coffee/Tea,718,1,False
180 BAR_1_50128888,50128888,180 BAR,TORONTO,4241,9173491061,Latin American,917,1,False
1803 NYC / BON COURAGE_1_50002454,50002454,1803 NYC / BON COURAGE,TORONTO,78,2122673000,Cajun,212,1,False
181EXCLUSIVE LLC_1_50167375,50167375,181EXCLUSIVE LLC,TORONTO,810,2127950550,,212,1,False
1847 INTERNATIONAL_1_50071182,50071182,1847 INTERNATIONAL,SCARBOROUGH,639,7185244810,African,718,1,False
18TH AVE CAFE G_1_50111168,50111168,18TH AVE CAFE G,RICHMOND HILL,8611,9179722575,Eastern European,917,1,False
18TH WARD BREWING_1_50082852,50082852,18TH WARD BREWING,RICHMOND HILL,300,7183874025,American,718,1,False
19 CAFE_1_50015841,50015841,19 CAFE,RICHMOND HILL,84,7183878777,Coffee/Tea,718,1,False
19 CLEVELAND BY NISH NUSH_1_50080371,50080371,19 CLEVELAND BY NISH NUSH,TORONTO,19,6468239227,Mediterranean,646,1,False
19 EMPIRE RESTAURANT_1_50105383,50105383,19 EMPIRE RESTAURANT,NORTH YORK,19A,6466378328,Chinese,646,1,False
19.EI / MD FRIED CHICKEN / COTTI COFFEE EXPRESS_1_50144902,50144902,19.EI / MD FRIED CHICKEN / COTTI COFFEE EXPRESS,RICHMOND HILL,5401,9173619955,Asian/Asian Fusion,917,1,False
1915 LANZHOU HAND PULLED NOODLES & DUMPLINGS_1_50147177,50147177,1915 LANZHOU HAND PULLED NOODLES & DUMPLINGS,TORONTO,207,7276668132,Chinese,727,1,False
1930 LECHONERA EL SAZON CRIOLLO_1_50130802,50130802,1930 LECHONERA EL SAZON CRIOLLO,NORTH YORK,1930,9176047278,Latin American,917,1,False
1982 COFFEE ROASTERS_1_50092595,50092595,1982 COFFEE ROASTERS,RICHMOND HILL,5403,7184751982,Coffee/Tea,718,1,False
1C&J GROUP INC_1_50165837,50165837,1C&J GROUP INC,TORONTO,4871,9172543034,,917,1,False
1HOTEL CENTRAL PARK_1_50166828,50166828,1HOTEL CENTRAL PARK,TORONTO,1414,9178061009,,917,1,False
1ST AVE PIZZA INC._1_50170510,50170510,1ST AVE PIZZA INC.,NORTH YORK,12,5513581106,,551,1,False
1ST FLOOR_1_50177567,50177567,1ST FLOOR,TORONTO,500,9296675875,,929,1,False
2 BROS PIZZA / CARMENS KITCHEN_1_50114109,50114109,2 BROS PIZZA / CARMENS KITCHEN,TORONTO,72,9175878888,Spanish,917,1,False
"2 BROS PIZZA, CORVO COFFEE_1_41477814",41477814,"2 BROS PIZZA, CORVO COFFEE",TORONTO,542,2126952642,Pizza,212,1,False
2 BROS PIZZA_5_41334807,41334807,2 BROS PIZZA,TORONTO,32,2127770600,Pizza,212,5,True
2 BROS PIZZA_5_50046427,50046427,2 BROS PIZZA,TORONTO,755,2122391117,Pizza,212,5,True
2 BROS PIZZA_5_50100200,50100200,2 BROS PIZZA,NORTH YORK,2460,2122391117,Pizza,212,5,True
2 BROS PIZZA_5_50102393,50102393,2 BROS PIZZA,TORONTO,300,2122391117,Pizza,212,5,True
2 BROS PIZZA_5_50164302,50164302,2 BROS PIZZA,TORONTO,828,9175878888,Other,917,5,True
2 BRYANT PARK CDR_1_50118526,50118526,2 BRYANT PARK CDR,TORONTO,1100,9293897208,American,929,1,False
2 IN 1 RESTAURANT_1_50094361,50094361,2 IN 1 RESTAURANT,RICHMOND HILL,2108,7183380688,Chinese,718,1,False
2 MIRO SUSHI_1_50168193,50168193,2 MIRO SUSHI,RICHMOND HILL,533,7183335273,Japanese,718,1,False
2 SISTERS 4 BROTHERS RESTAURANT AND LOUNGE_1_50115746,50115746,2 SISTERS 4 BROTHERS RESTAURANT AND LOUNGE,TORONTO,355,6465153236,Soul Food,646,1,False
2 SWEET OF STATEN ISLAND INC (STARBUCKS)_1_50174031,50174031,2 SWEET OF STATEN ISLAND INC (STARBUCKS),SCARBOROUGH,55B,5164588020,,516,1,False
2020 SABORES LATINOS REST & BAKERY_1_50106693,50106693,2020 SABORES LATINOS REST & BAKERY,ETOBICOKE,124-04,3475714461,Latin American,347,1,False
20516  FOOD CORP_1_50169210,50169210,20516  FOOD CORP,ETOBICOKE,205-16,7182246030,,718,1,False
2083 RTR RESTAURANT CORP._1_50179004,50179004,2083 RTR RESTAURANT CORP.,TORONTO,2083,9179123844,,917,1,False
21 BAR_1_50044708,50044708,21 BAR,TORONTO,4318,9179752690,American,917,1,False
21 GREENPOINT_1_50076379,50076379,21 GREENPOINT,RICHMOND HILL,21,7183838833,American,718,1,False
212 HISAE'S_1_41403564,41403564,212 HISAE'S,TORONTO,212,2126143226,Asian/Asian Fusion,212,1,False
212 STEAKHOUSE_1_50010711,50010711,212 STEAKHOUSE,TORONTO,316,9294357300,Steakhouse,929,1,False
2122 QUICK BITE CORP_1_50167973,50167973,2122 QUICK BITE CORP,RICHMOND HILL,2122,3474155925,,347,1,False
2123 FRESH TORTILLAS_1_50055977,50055977,2123 FRESH TORTILLAS,NORTH YORK,2123,7183191208,Tex-Mex,718,1,False
218 RESTAURANT_1_41510846,41510846,218 RESTAURANT,TORONTO,,2122268039,Chinese,212,1,False
21ST LIC DELI & GROCERY_1_50060917,50060917,21ST LIC DELI & GROCERY,ETOBICOKE,43-44,7187862484,American,718,1,False
21ST STREET CAFE_1_50157015,50157015,21ST STREET CAFE,ETOBICOKE,28-16,7164138011,American,716,1,False
22 STR CONCESSION STAND_1_50052209,50052209,22 STR CONCESSION STAND,RICHMOND HILL,3052,9173049069,American,917,1,False
220 CENTRAL PARK SOUTH_1_50093886,50093886,220 CENTRAL PARK SOUTH,TORONTO,220,2122025650,American,212,1,False
228 ASIAN BISTRO_1_50173513,50173513,228 ASIAN BISTRO,RICHMOND HILL,228,3473921179,,347,1,False
23 GRAND_1_50109923,50109923,23 GRAND,TORONTO,23,2124652000,American,212,1,False
230 FIFTH_1_41195733,41195733,230 FIFTH,TORONTO,230,2127254300,American,212,1,False
234 CHINA CITY_1_41241023,41241023,234 CHINA CITY,RICHMOND HILL,234,7187144272,Chinese,718,1,False
234BUKA_1_50174349,50174349,234BUKA,NORTH YORK,2368,3059844372,,305,1,False
24 HOURS YAN INC_1_50178600,50178600,24 HOURS YAN INC,ETOBICOKE,147-10,9293301999,,929,1,False
241ST CAFE RESTAURANT_1_50007100,50007100,241ST CAFE RESTAURANT,NORTH YORK,4703,7183244924,American,718,1,False
245 PARK AMENITY LLC_1_50179011,50179011,245 PARK AMENITY LLC,TORONTO,245,6463917425,,646,1,False
251 GINZA SUSHI_1_50095004,50095004,251 GINZA SUSHI,TORONTO,251,2128893333,Japanese,212,1,False
260‘S NEW YORK_1_50166047,50166047,260‘S NEW YORK,TORONTO,260,2016678995,,201,1,False
2639 MUNCH'N OUT CORP._1_50163464,50163464,2639 MUNCH'N OUT CORP.,NORTH YORK,2639,6464201758,,646,1,False
27 SPORTS BAR & CAFE_1_41255390,41255390,27 SPORTS BAR & CAFE,NORTH YORK,2,7187313585,Latin American,718,1,False
27/26_1_50157027,50157027,27/26,RICHMOND HILL,305,6469251995,,646,1,False
270 MARKETPLACE_1_50143240,50143240,270 MARKETPLACE,TORONTO,270,2123810022,American,212,1,False
272 UPTOWN PIZZA_1_50091455,50091455,272 UPTOWN PIZZA,TORONTO,272,2122837021,Pizza,212,1,False
275PARK / 275PARK LAFFAHOLICS_1_50132695,50132695,275PARK / 275PARK LAFFAHOLICS,RICHMOND HILL,275,7185940928,American,718,1,False
277 PARK AVENUE CAFE'_1_50100172,50100172,277 PARK AVENUE CAFE',TORONTO,277,3476400523,American,347,1,False
"28 SEVENTH AVENUE SOUTH, LLC_1_50132800",50132800,"28 SEVENTH AVENUE SOUTH, LLC",TORONTO,28,2126278838,,212,1,False
290 HUDSON CAFE LLC_1_50170364,50170364,290 HUDSON CAFE LLC,TORONTO,290,2017416271,,201,1,False
2A / BERLIN / OLD FLINGS_1_40388784,40388784,2A / BERLIN / OLD FLINGS,TORONTO,25,2125052466,American,212,1,False
2M DELI_1_50114059,50114059,2M DELI,NORTH YORK,315,7182921112,Latin American,718,1,False
2ND AV PIZZA_1_50169698,50169698,2ND AV PIZZA,TORONTO,493,3475544932,,347,1,False
2ND AVE DELI_1_41288201,41288201,2ND AVE DELI,TORONTO,162,2126899000,Jewish/Kosher,212,1,False
2ND AVENUE DELI_1_41588604,41588604,2ND AVENUE DELI,TORONTO,1442,2127371700,Jewish/Kosher,212,1,False
2ND FLOOR_1_50177571,50177571,2ND FLOOR,TORONTO,500,9296675875,,929,1,False
3 BROS HALAL PIZZA_1_50150731,50150731,3 BROS HALAL PIZZA,ETOBICOKE,25-03,9292789914,Pizza,929,1,False
3 BROS PIZZA & TACOS CORP._1_50119911,50119911,3 BROS PIZZA & TACOS CORP.,NORTH YORK,840,3472454836,Pizza,347,1,False
3 CHICK_1_50157555,50157555,3 CHICK,TORONTO,617,9293911935,Japanese,929,1,False
3 COFFEE_1_50088869,50088869,3 COFFEE,ETOBICOKE,30-27,3472658602,Coffee/Tea,347,1,False
3 DESSERT_1_50127942,50127942,3 DESSERT,ETOBICOKE,136-20,7186872895,Other,718,1,False
3 GREEKS GRILL_1_50044646,50044646,3 GREEKS GRILL,ETOBICOKE,35-61,7187298900,Greek,718,1,False
3 GUYS SUSHI_1_50037436,50037436,3 GUYS SUSHI,SCARBOROUGH,530,7184470088,Japanese,718,1,False
3 IN 1 KITCHEN_1_50049907,50049907,3 IN 1 KITCHEN,RICHMOND HILL,4902,7184377744,American,718,1,False
3 IN 1 PHENOMENAL KITCHEN CORP._1_50179022,50179022,3 IN 1 PHENOMENAL KITCHEN CORP.,ETOBICOKE,19-33,9294346708,,929,1,False
3 KINGZ PIZZA LLC_1_50171411,50171411,3 KINGZ PIZZA LLC,ETOBICOKE,114-08,3472334714,,347,1,False
3 LITTLE PIGS CAFE_1_50144959,50144959,3 LITTLE PIGS CAFE,ETOBICOKE,42-18,3473796035,Coffee/Tea,347,1,False
3 LUIGI'S PIZZA_1_50094925,50094925,3 LUIGI'S PIZZA,RICHMOND HILL,275,9178330996,Pizza,917,1,False
3 LUIGIS PIZZERIA_1_50176328,50176328,3 LUIGIS PIZZERIA,RICHMOND HILL,275,3475029510,,347,1,False
3 PIZZA KING_1_50166469,50166469,3 PIZZA KING,ETOBICOKE,114-08,3474896626,,347,1,False
3 SHEETS SALOON_1_41509130,41509130,3 SHEETS SALOON,TORONTO,134,2127771733,American,212,1,False
3 SISTERS' & SHANTA'S RESTAURANT & BAKERY_1_40945190,40945190,3 SISTERS' & SHANTA'S RESTAURANT & BAKERY,ETOBICOKE,107-04,7188453570,Caribbean,718,1,False
3 STAR JUICE CENTER_1_41063464,41063464,3 STAR JUICE CENTER,RICHMOND HILL,482,7184930099,"Juice, Smoothies, Fruit Salads",718,1,False
3 TIMES_3_50113240,50113240,3 TIMES,TORONTO,38,6468959297,Asian/Asian Fusion,646,3,True
3 TIMES_3_50113322,50113322,3 TIMES,TORONTO,818,6466093040,Asian/Asian Fusion,646,3,True
